Category,Product
Educational,Book
Educational,Online Course
Educational,Educational Toy
Educational,Science Kit
Educational,Math Workbook
Educational,Language Learning Software
Travel,Luggage
Travel,Travel Pillow
Travel,World Map
Travel,Travel Guidebook
Travel,Portable Charger
Travel,Travel Backpack
Books,Fiction
Books,Non-Fiction
Books,Biography
Books,Mystery
Books,Science Fiction
Books,Historical Fiction
Books,Self-Help
Gadgets,Phone
Gadgets,Headset
Gadgets,Smartwatch
Gadgets,Laptop
Gadgets,Tablet
Gadgets,E-reader
Gadgets,Portable Speaker
Gadgets,Fitness Tracker
Home & Kitchen,Coffee Maker
Home & Kitchen,Blender
Home & Kitchen,Smart Home Device
Home & Kitchen,Cookware Set
Home & Kitchen,Decorative Vase
Home & Kitchen,Bedding Set
Fashion,T-shirt
Fashion,Jeans
Fashion,Dress
Fashion,Watch
Fashion,Handbag
Fashion,Sneakers
Fashion,Sunglasses
Fashion,Jacket
Health & Wellness,Yoga Mat
Health & Wellness,Fitness Band
Health & Wellness,Protein Powder
Health & Wellness,Skincare Product
Health & Wellness,Haircare Kit
Health & Wellness,Vitamins
Health & Wellness,Aromatherapy Diffuser
Health & Wellness,Essential Oils
Toys & Games,Board Game
Toys & Games,Action Figure
Toys & Games,Stuffed Animals
Toys & Games,Outdoor Toy